Key,Source,Context,Changes,English,Spanish
foodPickledFishSchematic,items,Food,New,Pickled Fish Recipe,Receta de Pescado en Vinagre
foodFishAndChipsSchematic,items,Food,New,Fish and Chips Recipe,Receta de Pescado y Patatas fritas
fishTrapItem,items,Tool,kgNone,Fish Trap,Trampa de Pescado
fishTrapItemDesc,items,Tool,kgNone,"Right-click to place near water.  You need to be standing in natural water and place the trap on the shore (not over the water).  Will occasionally trap fish and other debris.","Click derecho para colocarlo cerca del Agua. Necesitas estar en agua natural y colocar la trampa en la orilla (No encima del agua)"
itemFishingCacheT1,items,Tool,kgNone,Fish Cache,Alijo de Pescado
itemFishingCacheT2,items,Tool,kgNone,Fish Cache,Alijo de Pescado
itemFishingCacheT3,items,Tool,kgNone,Fish Cache,Alijo de Pescado
itemFishingCacheAllDesc,items,Tool,kgNone,"Right-click to place anywhere.  Destroy the placed cache to discover what was caught!","Click derecho para colocarlo donde sea ¡Destruye el Alijo colocado para descubrir que has capturado!"
fishTrap,blocks,Block,KgNone,Fish Trap,Trampa para Peces
fishTrapCaught,blocks,Block,KgNone,Fish Trap,Trampa para Peces
fishingWater,buffs,Buff,New,[94f7e5]Fishing[-],[94f7e5]Pescando[-]
fishingWaterDesc,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge.","Puedes pescar y colocar trampas de pesca cerca de la orilla."
fishingWaterTooltip,buffs,Buff,New,"You can fish as well as place fishing traps near the water's edge.","Puedes pescar y colocar trampas de pesca cerca de la orilla."
fishingSpearCaught,buffs,Buff,New,[94f7e5]Check Spear Quickly![-],[94f7e5]¡Comprueba tu Lanza Rápido![-]
fishingSpearCaughtDesc,buffs,Buff,New,"You may have caught something with your spear.  Right-click with your spear equipped to investigate.","Puede que hayas capturado algo con tu lanza. Click derehco con tu lanza equipada para investigar."
fishingSpearCaughtTooltip,buffs,Buff,New,"You may have caught something with your spear.","Puede que hayas capturado algo con tu lanza."
fishingSpearCaughtClear,buffs,Buff,New," ",
fishingSpearCaughtClearDesc,buffs,Buff,New," ",
fishingSpearCaughtClearTooltip,buffs,Buff,New," ",
fishingRodCaught,buffs,Buff,New,[94f7e5]Check Rod Quickly![-],[94f7e5]¡Comprueba tu Caña Rápido![-]
fishingRodCaughtDesc,buffs,Buff,New,"You may have caught something with your fishing rod.  Right-click with your fishing rod equipped to investigate.","Puede que hayas capturado algo con tu caña de pescar. Click derehco con tu lanza equipada para investigar."
fishingRodCaughtTooltip,buffs,Buff,New,"You may have caught something with your fishing rod.","Puede que hayas capturado algo con tu caña de pescar."
fishingRodCaughtClear,buffs,Buff,New," ",
fishingRodCaughtClearDesc,buffs,Buff,New," ",
fishingRodCaughtClearTooltip,buffs,Buff,New," ",
